order_id,customer_id,product_id,order_date,quantity
1,379,200,2024-04-22,1
2,4483,303,2024-06-23,4
3,3830,429,2023-10-12,1
4,616,353,2023-05-24,2
5,2331,75,2023-11-15,3
6,1755,448,2024-03-31,2
7,464,244,2023-01-04,1
8,967,271,2024-07-16,4
9,4268,21,2023-04-10,2
10,3159,36,2024-01-17,3
11,3625,198,2024-12-01,4
12,4939,153,2023-03-23,4
13,690,44,2024-12-23,3
14,2623,129,2023-12-22,1
15,2213,42,2023-10-09,1
16,383,443,2024-10-03,1
17,2257,498,2024-03-26,3
18,3811,33,2023-08-08,1
19,3504,359,2023-02-14,2
20,1413,416,2023-11-12,4
21,1584,450,2024-06-14,2
22,372,409,2024-12-23,3
23,611,296,2023-04-15,3
24,116,442,2024-10-16,2
25,447,353,2023-05-03,3
26,1392,115,2024-05-03,4
27,3325,358,2023-07-17,4
28,1341,203,2023-09-05,1
29,4511,64,2023-09-26,1
30,2940,403,2024-07-21,4
31,3700,473,2023-04-20,3
32,1074,284,2023-07-04,1
33,4814,458,2023-01-03,3
34,3570,223,2023-11-24,1
35,3151,336,2023-08-03,2
36,1606,368,2024-10-29,2
37,4658,426,2023-10-16,1
38,2295,210,2024-01-10,4
39,3663,86,2023-04-08,4
40,4483,434,2023-10-08,3
41,4798,227,2024-08-05,1
42,984,460,2023-04-27,3
43,352,362,2023-06-05,1
44,1725,476,2023-12-03,4
45,1952,304,2023-12-24,2
46,1280,185,2023-04-22,2
47,1908,265,2023-01-30,2
48,4849,414,2024-10-02,1
49,1025,402,2023-04-10,1
50,546,173,2024-02-06,3
51,4175,216,2024-01-21,1
52,2382,366,2024-08-31,2
53,889,83,2023-11-23,1
54,1106,78,2023-04-22,1
55,2550,322,2023-02-28,4
56,1991,395,2023-10-01,3
57,3999,346,2023-09-20,2
58,3776,72,2023-07-08,4
59,2813,451,2024-01-17,4
60,921,271,2024-12-08,2
61,4646,365,2024-09-24,2
62,2062,296,2024-10-18,2
63,4488,141,2024-08-17,4
64,3640,208,2024-12-09,1
65,3166,342,2023-12-25,2
66,4436,33,2023-07-02,2
67,2645,382,2023-08-18,4
68,4853,386,2023-01-13,1
69,1046,109,2023-04-11,2
70,3557,477,2024-03-27,2
71,2682,366,2024-12-29,2
72,3200,162,2024-04-23,1
73,939,16,2023-05-23,3
74,4944,14,2023-01-28,1
75,442,231,2024-03-16,2
76,2551,246,2023-07-11,1
77,4226,46,2023-07-22,3
78,597,306,2023-08-09,4
79,1506,113,2023-05-03,3
80,862,389,2023-05-13,4
81,2641,43,2023-08-23,1
82,3732,402,2023-06-19,4
83,1552,48,2023-01-20,4
84,3237,192,2024-08-20,4
85,1737,410,2024-09-24,2
86,1450,202,2023-10-03,3
87,265,454,2024-11-24,1
88,2660,142,2023-02-05,4
89,2722,450,2023-04-22,2
90,1463,189,2024-08-01,2
91,4253,219,2023-07-19,1
92,1446,457,2024-06-25,2
93,2299,252,2024-12-08,1
94,2926,461,2023-05-15,3
95,1633,277,2023-05-02,2
96,2375,311,2024-10-25,3
97,4991,116,2023-09-22,2
98,513,364,2023-10-17,3
99,216,2,2024-12-13,3
100,3332,387,2024-07-20,1
101,2173,13,2024-09-19,4
102,3154,277,2024-08-13,4
103,1707,417,2024-01-04,3
104,2107,252,2024-06-07,2
105,1568,404,2024-05-18,3
106,2209,381,2023-02-27,4
107,2332,228,2024-05-19,2
108,2154,146,2024-03-18,1
109,1129,217,2024-08-02,2
110,3511,237,2023-07-20,1
111,4324,294,2024-02-18,4
112,3654,256,2024-03-22,2
113,2366,281,2024-03-21,2
114,4898,166,2024-06-13,2
115,2922,143,2024-02-09,4
116,4568,498,2023-07-28,3
117,1080,465,2024-11-05,1
118,3512,238,2024-02-05,2
119,2742,484,2024-08-23,4
120,3021,413,2023-07-01,4
121,229,97,2023-06-01,3
122,171,192,2023-01-15,3
123,295,288,2023-12-07,4
124,4285,456,2023-09-09,1
125,426,43,2024-08-10,1
126,919,269,2024-06-09,2
127,3254,209,2024-11-17,4
128,499,469,2024-01-01,4
129,2810,334,2023-04-02,3
130,4962,25,2023-08-05,1
131,826,305,2023-04-02,3
132,3780,500,2023-10-14,4
133,1859,88,2023-04-10,3
134,2119,120,2023-02-27,4
135,146,225,2024-11-10,4
136,4566,136,2024-03-21,2
137,3578,251,2023-07-01,3
138,193,412,2024-05-23,3
139,3889,211,2024-11-30,4
140,52,382,2024-01-30,3
141,2411,11,2023-06-03,1
142,1821,439,2023-10-13,4
143,2965,10,2023-10-20,4
144,2522,315,2023-03-15,1
145,1870,65,2023-12-18,2
146,2569,389,2023-03-10,3
147,1868,80,2024-10-10,2
148,2739,468,2023-06-03,1
149,3270,404,2024-02-23,2
150,3200,92,2023-11-21,4
151,2580,133,2024-04-05,2
152,4006,112,2023-05-19,3
153,4936,195,2023-05-01,4
154,241,414,2023-09-17,3
155,3441,87,2023-05-25,4
156,4632,162,2024-05-17,3
157,1408,369,2024-11-01,1
158,3503,374,2024-06-01,4
159,4039,348,2023-04-26,4
160,83,1,2024-07-04,3
161,3769,368,2023-04-17,4
162,951,411,2024-09-21,1
163,611,119,2023-02-11,1
164,4670,376,2024-06-22,1
165,3606,254,2023-08-05,3
166,4555,191,2024-09-09,3
167,3284,290,2023-03-24,4
168,2174,351,2023-11-17,2
169,3485,288,2023-09-27,1
170,1523,116,2023-04-18,1
171,2602,199,2023-01-15,3
172,2658,235,2024-10-23,1
173,2160,230,2024-12-02,1
174,2450,226,2024-11-11,3
175,3831,430,2023-06-10,4
176,122,196,2024-03-24,2
177,4369,467,2023-03-24,3
178,1318,441,2024-09-05,3
179,4494,278,2024-01-15,4
180,2519,157,2023-04-25,3
181,1231,482,2023-08-30,4
182,1134,354,2023-02-28,1
183,1302,301,2023-04-09,2
184,4035,173,2024-03-17,4
185,1911,323,2024-01-23,3
186,1506,21,2023-03-16,4
187,3186,486,2023-08-29,2
188,1917,405,2024-05-29,4
189,4916,188,2024-01-10,3
190,3549,465,2023-03-07,2
191,2758,285,2024-10-24,1
192,1957,289,2023-06-12,1
193,179,167,2023-09-04,2
194,897,190,2023-10-12,2
195,1552,90,2023-11-13,2
196,492,382,2023-07-09,4
197,61,455,2023-01-07,4
198,1078,301,2024-06-14,3
199,2896,442,2023-11-22,2
200,4161,73,2023-03-30,3
201,3684,82,2024-12-20,2
202,586,385,2023-10-06,4
203,3961,11,2023-03-13,3
204,3771,470,2024-04-28,1
205,535,249,2024-05-21,1
206,3463,160,2023-08-05,2
207,4012,107,2024-06-30,2
208,3399,458,2024-03-29,1
209,2156,433,2023-04-20,4
210,1005,91,2023-06-16,2
211,2500,241,2024-05-12,3
212,327,204,2024-08-02,2
213,4704,414,2024-03-02,1
214,2707,316,2024-01-19,4
215,2,394,2024-03-01,3
216,1034,460,2023-09-24,3
217,2482,358,2024-08-22,4
218,125,149,2024-12-18,4
219,1105,475,2023-12-26,4
220,2700,262,2023-03-04,4
221,1862,166,2024-01-10,4
222,2921,381,2024-04-22,4
223,129,116,2023-10-14,4
224,438,442,2024-03-29,3
225,4847,8,2023-10-07,2
226,2549,229,2024-11-25,2
227,3130,70,2024-05-26,4
228,1222,191,2024-11-16,4
229,902,162,2024-04-13,3
230,3169,177,2023-05-14,3
231,4487,40,2024-10-13,2
232,3919,342,2023-02-03,4
233,1068,29,2023-03-07,1
234,27,9,2023-06-21,3
235,548,277,2024-06-16,4
236,2669,288,2024-12-10,3
237,567,72,2023-01-06,4
238,704,183,2024-10-05,1
239,4281,427,2024-06-02,4
240,3141,10,2024-08-10,1
241,1591,177,2024-06-02,1
242,4944,87,2023-08-28,3
243,4695,84,2023-02-16,1
244,806,397,2023-06-04,1
245,3792,86,2023-09-09,3
246,1358,297,2024-07-03,1
247,3226,207,2023-03-29,1
248,3619,287,2023-09-27,4
249,2127,109,2024-11-10,3
250,2461,32,2023-12-22,1
251,546,429,2024-12-17,1
252,2729,13,2024-09-04,4
253,3735,377,2023-04-26,4
254,2563,409,2023-02-19,2
255,2080,213,2024-04-03,4
256,2642,452,2023-02-01,4
257,3115,118,2023-07-28,1
258,1927,106,2023-07-13,1
259,617,15,2023-03-28,4
260,3645,320,2023-09-18,4
261,1204,213,2024-09-25,1
262,1760,188,2024-11-08,3
263,2566,234,2024-04-19,2
264,3175,373,2023-07-09,2
265,3082,264,2023-09-15,3
266,2631,223,2024-05-19,3
267,3162,458,2024-05-18,3
268,4322,213,2024-08-05,3
269,670,145,2023-08-20,4
270,3169,5,2024-03-09,1
271,2122,141,2024-02-10,3
272,4079,21,2024-05-09,4
273,4152,117,2024-08-07,3
274,720,380,2023-08-26,2
275,2601,115,2023-12-31,2
276,3599,44,2024-02-23,4
277,4670,204,2023-12-24,3
278,667,473,2023-01-24,4
