customer_id,customer_name,total_orders,total_revenue
4916,Cust_4916,13,101812.0000
2664,Cust_2664,8,27936.0000
3402,Cust_3402,11,97350.0000
85,Cust_85,14,58832.0000
4841,Cust_4841,10,59250.0000
2698,Cust_2698,8,27751.0000
2117,Cust_2117,7,45226.0000
332,Cust_332,16,79047.0000
3330,Cust_3330,10,67026.0000
1223,Cust_1223,12,78496.0000
2692,Cust_2692,9,80518.0000
4008,Cust_4008,12,63272.0000
142,Cust_142,9,79036.0000
561,Cust_561,16,95363.0000
3119,Cust_3119,13,93033.0000
3752,Cust_3752,10,58762.0000
959,Cust_959,12,108497.0000
1400,Cust_1400,12,83176.0000
485,Cust_485,8,63235.0000
1879,Cust_1879,12,69710.0000
1321,Cust_1321,14,66135.0000
4673,Cust_4673,3,21858.0000
3770,Cust_3770,11,59914.0000
1975,Cust_1975,9,54192.0000
4978,Cust_4978,11,68434.0000
2509,Cust_2509,7,65092.0000
3991,Cust_3991,7,54971.0000
2181,Cust_2181,8,67364.0000
230,Cust_230,13,65573.0000
320,Cust_320,10,63835.0000
4114,Cust_4114,10,68011.0000
393,Cust_393,11,44487.0000
2514,Cust_2514,15,64597.0000
4455,Cust_4455,13,92608.0000
4685,Cust_4685,7,18561.0000
3515,Cust_3515,11,48740.0000
4338,Cust_4338,10,53834.0000
4065,Cust_4065,8,64003.0000
693,Cust_693,8,50567.0000
2952,Cust_2952,11,81529.0000
1515,Cust_1515,9,51565.0000
4913,Cust_4913,5,39405.0000
2118,Cust_2118,10,65794.0000
380,Cust_380,9,54567.0000
852,Cust_852,10,64231.0000
3420,Cust_3420,9,48369.0000
3803,Cust_3803,7,60083.0000
3705,Cust_3705,10,52815.0000
2506,Cust_2506,10,64990.0000
442,Cust_442,10,76511.0000
567,Cust_567,11,92806.0000
3143,Cust_3143,9,60371.0000
1681,Cust_1681,10,43420.0000
570,Cust_570,12,81692.0000
3666,Cust_3666,14,99354.0000
4582,Cust_4582,11,61180.0000
3307,Cust_3307,13,76196.0000
1814,Cust_1814,10,94458.0000
2957,Cust_2957,11,71915.0000
4835,Cust_4835,12,86557.0000
350,Cust_350,12,86831.0000
2648,Cust_2648,10,61517.0000
2691,Cust_2691,7,52625.0000
2902,Cust_2902,11,92526.0000
319,Cust_319,10,67105.0000
3068,Cust_3068,5,31041.0000
112,Cust_112,17,110550.0000
4192,Cust_4192,13,99743.0000
4863,Cust_4863,17,107589.0000
4470,Cust_4470,8,55115.0000
3947,Cust_3947,12,68018.0000
4714,Cust_4714,15,82647.0000
2920,Cust_2920,14,110134.0000
4062,Cust_4062,8,46941.0000
1694,Cust_1694,17,78049.0000
518,Cust_518,10,43422.0000
4341,Cust_4341,10,66806.0000
627,Cust_627,6,55064.0000
1154,Cust_1154,11,63378.0000
