payment_id,order_id,payment_method,payment_status
1,1,Card,Success
2,2,NetBanking,Success
3,3,UPI,Success
4,4,NetBanking,Success
5,5,Wallet,Success
6,6,UPI,Success
7,7,Card,Success
8,8,Wallet,Success
9,9,NetBanking,Success
10,10,NetBanking,Failed
11,11,Wallet,Success
12,12,Wallet,Success
13,13,NetBanking,Success
14,14,Card,Success
15,15,UPI,Success
16,16,NetBanking,Success
17,17,NetBanking,Failed
18,18,NetBanking,Failed
19,19,UPI,Success
20,20,Card,Failed
21,21,UPI,Failed
22,22,UPI,Success
23,23,UPI,Success
24,24,Card,Success
25,25,NetBanking,Success
26,26,UPI,Success
27,27,Wallet,Success
28,28,Wallet,Failed
29,29,Card,Success
30,30,Card,Success
31,31,UPI,Success
32,32,Wallet,Success
33,33,NetBanking,Success
34,34,Card,Success
35,35,Wallet,Success
36,36,UPI,Success
37,37,UPI,Success
38,38,Card,Success
39,39,NetBanking,Failed
40,40,Card,Success
41,41,UPI,Failed
42,42,NetBanking,Failed
43,43,Card,Success
44,44,NetBanking,Failed
45,45,Card,Success
46,46,UPI,Success
47,47,Card,Success
48,48,NetBanking,Success
49,49,NetBanking,Success
50,50,NetBanking,Success
51,51,Wallet,Success
52,52,UPI,Success
53,53,Card,Success
54,54,Card,Success
55,55,NetBanking,Success
56,56,UPI,Failed
57,57,Card,Failed
58,58,Card,Success
59,59,UPI,Success
60,60,UPI,Success
61,61,Card,Success
62,62,UPI,Success
63,63,UPI,Success
64,64,NetBanking,Success
65,65,NetBanking,Success
66,66,NetBanking,Success
67,67,Wallet,Success
68,68,Wallet,Success
69,69,Card,Failed
70,70,Card,Success
71,71,UPI,Success
72,72,UPI,Success
73,73,Wallet,Success
74,74,NetBanking,Success
75,75,Wallet,Success
76,76,UPI,Success
77,77,Wallet,Success
78,78,Wallet,Success
79,79,NetBanking,Success
80,80,Card,Failed
81,81,Wallet,Success
82,82,Wallet,Success
83,83,UPI,Failed
84,84,NetBanking,Success
85,85,NetBanking,Success
86,86,UPI,Success
87,87,Card,Success
88,88,UPI,Success
89,89,NetBanking,Success
90,90,Wallet,Success
91,91,NetBanking,Success
92,92,Card,Success
93,93,Card,Failed
94,94,NetBanking,Success
95,95,Card,Success
96,96,NetBanking,Success
97,97,NetBanking,Success
98,98,NetBanking,Success
99,99,NetBanking,Success
100,100,Wallet,Success
101,101,Wallet,Success
102,102,Card,Success
103,103,NetBanking,Success
104,104,UPI,Success
105,105,NetBanking,Success
106,106,NetBanking,Success
107,107,NetBanking,Failed
108,108,UPI,Success
109,109,NetBanking,Success
110,110,Wallet,Success
111,111,Card,Success
112,112,Card,Success
113,113,NetBanking,Success
114,114,Card,Success
115,115,Card,Success
116,116,UPI,Success
117,117,UPI,Success
118,118,Wallet,Success
119,119,Card,Success
120,120,Card,Success
121,121,NetBanking,Success
122,122,UPI,Success
123,123,Wallet,Success
124,124,NetBanking,Success
125,125,NetBanking,Success
126,126,Card,Success
127,127,Wallet,Success
128,128,UPI,Success
129,129,Wallet,Success
130,130,NetBanking,Success
131,131,UPI,Success
132,132,Wallet,Success
133,133,Wallet,Success
134,134,Wallet,Success
135,135,UPI,Success
136,136,UPI,Success
137,137,UPI,Failed
138,138,UPI,Success
139,139,Card,Success
140,140,UPI,Success
141,141,NetBanking,Success
142,142,NetBanking,Success
143,143,Wallet,Success
144,144,UPI,Success
145,145,UPI,Success
146,146,UPI,Success
147,147,NetBanking,Success
148,148,Card,Success
149,149,Wallet,Success
150,150,Card,Success
151,151,Wallet,Success
152,152,UPI,Success
153,153,Card,Success
154,154,NetBanking,Success
155,155,UPI,Success
156,156,Wallet,Failed
157,157,NetBanking,Failed
158,158,UPI,Success
159,159,Wallet,Success
160,160,UPI,Success
161,161,UPI,Success
162,162,NetBanking,Failed
163,163,Wallet,Success
164,164,Card,Success
165,165,NetBanking,Success
166,166,NetBanking,Failed
167,167,Wallet,Failed
168,168,Card,Success
169,169,Card,Success
170,170,Card,Success
171,171,Card,Success
172,172,Wallet,Success
173,173,Wallet,Success
174,174,Card,Success
175,175,Card,Success
176,176,Card,Failed
177,177,Wallet,Failed
178,178,UPI,Success
179,179,UPI,Success
180,180,Wallet,Success
181,181,UPI,Failed
182,182,NetBanking,Success
183,183,NetBanking,Success
184,184,NetBanking,Success
185,185,NetBanking,Success
186,186,NetBanking,Success
187,187,UPI,Failed
188,188,UPI,Success
189,189,Wallet,Success
190,190,Card,Success
191,191,UPI,Success
192,192,Wallet,Success
193,193,NetBanking,Success
194,194,Wallet,Success
195,195,Wallet,Failed
196,196,NetBanking,Success
197,197,NetBanking,Success
198,198,Wallet,Success
199,199,NetBanking,Success
200,200,Wallet,Success
201,201,UPI,Success
202,202,Wallet,Success
203,203,UPI,Success
204,204,UPI,Success
205,205,Card,Success
206,206,Wallet,Failed
207,207,UPI,Success
208,208,Wallet,Success
209,209,Wallet,Success
210,210,NetBanking,Success
211,211,Wallet,Failed
212,212,Card,Success
213,213,NetBanking,Success
214,214,NetBanking,Success
215,215,UPI,Success
216,216,Card,Success
217,217,Card,Success
218,218,Wallet,Success
219,219,UPI,Success
220,220,Card,Failed
221,221,Wallet,Success
222,222,UPI,Success
223,223,UPI,Failed
224,224,NetBanking,Success
225,225,Wallet,Success
226,226,NetBanking,Success
227,227,NetBanking,Success
228,228,NetBanking,Success
229,229,UPI,Success
230,230,Wallet,Success
231,231,NetBanking,Success
232,232,NetBanking,Success
233,233,NetBanking,Success
234,234,UPI,Success
235,235,Card,Success
236,236,UPI,Success
237,237,UPI,Success
238,238,Wallet,Success
239,239,NetBanking,Success
240,240,UPI,Success
241,241,NetBanking,Success
242,242,Card,Success
243,243,Card,Success
244,244,UPI,Success
245,245,Wallet,Success
246,246,Card,Failed
247,247,Card,Success
248,248,UPI,Success
249,249,UPI,Success
250,250,Wallet,Success
251,251,NetBanking,Success
252,252,Card,Success
253,253,NetBanking,Success
254,254,Wallet,Success
255,255,Wallet,Success
256,256,Card,Success
257,257,NetBanking,Success
258,258,NetBanking,Success
259,259,UPI,Failed
260,260,UPI,Success
261,261,UPI,Success
262,262,NetBanking,Success
263,263,UPI,Failed
264,264,Wallet,Success
265,265,NetBanking,Success
266,266,UPI,Success
267,267,Card,Success
268,268,UPI,Failed
269,269,NetBanking,Success
270,270,Wallet,Success
271,271,UPI,Success
272,272,Card,Success
273,273,UPI,Success
274,274,UPI,Failed
275,275,UPI,Success
276,276,Wallet,Success
277,277,Wallet,Failed
278,278,Card,Success
279,279,NetBanking,Success
280,280,Card,Success
281,281,UPI,Success
282,282,NetBanking,Success
283,283,Wallet,Success
284,284,Wallet,Success
285,285,Wallet,Success
286,286,Wallet,Success
287,287,Wallet,Success
288,288,NetBanking,Success
289,289,UPI,Success
290,290,UPI,Success
291,291,NetBanking,Success
292,292,UPI,Success
293,293,Wallet,Success
294,294,Wallet,Success
295,295,UPI,Success
296,296,Card,Success
297,297,UPI,Success
298,298,Card,Success
299,299,UPI,Success
300,300,NetBanking,Success
301,301,NetBanking,Success
302,302,NetBanking,Success
303,303,Wallet,Success
304,304,UPI,Success
305,305,UPI,Failed
306,306,UPI,Success
307,307,NetBanking,Success
308,308,NetBanking,Success
309,309,Card,Success
310,310,Card,Success
311,311,NetBanking,Success
312,312,UPI,Success
313,313,UPI,Failed
314,314,NetBanking,Success
315,315,NetBanking,Success
316,316,UPI,Success
317,317,NetBanking,Success
318,318,Wallet,Success
319,319,UPI,Success
320,320,UPI,Success
321,321,NetBanking,Success
322,322,UPI,Success
323,323,Wallet,Success
324,324,UPI,Success
325,325,NetBanking,Success
326,326,NetBanking,Success
327,327,UPI,Success
328,328,UPI,Success
329,329,Card,Success
330,330,Card,Success
331,331,Wallet,Failed
332,332,NetBanking,Success
333,333,NetBanking,Success
334,334,NetBanking,Success
335,335,NetBanking,Failed
336,336,Card,Success
337,337,Wallet,Success
338,338,Wallet,Success
339,339,Card,Success
340,340,NetBanking,Success
341,341,Card,Success
342,342,Wallet,Success
343,343,UPI,Success
344,344,NetBanking,Success
345,345,NetBanking,Success
346,346,NetBanking,Success
347,347,Wallet,Success
348,348,UPI,Success
349,349,UPI,Success
350,350,Card,Success
351,351,UPI,Success
352,352,Card,Failed
353,353,Card,Success
354,354,UPI,Success
355,355,Card,Success
356,356,UPI,Success
357,357,UPI,Success
358,358,Wallet,Success
359,359,Wallet,Success
360,360,NetBanking,Success
361,361,Card,Success
362,362,UPI,Success
363,363,Wallet,Failed
364,364,Card,Success
365,365,UPI,Success
366,366,NetBanking,Success
367,367,UPI,Success
368,368,NetBanking,Success
369,369,Card,Success
370,370,Card,Success
371,371,Wallet,Success
372,372,UPI,Success
373,373,Card,Failed
374,374,Card,Success
375,375,NetBanking,Success
376,376,NetBanking,Success
377,377,UPI,Success
378,378,NetBanking,Success
379,379,UPI,Success
380,380,NetBanking,Success
381,381,NetBanking,Success
382,382,UPI,Success
383,383,Card,Success
384,384,UPI,Success
385,385,NetBanking,Success
386,386,Card,Success
387,387,NetBanking,Success
388,388,NetBanking,Success
389,389,NetBanking,Success
390,390,UPI,Failed
391,391,Card,Success
392,392,NetBanking,Failed
393,393,Wallet,Success
394,394,Card,Success
395,395,Card,Success
396,396,NetBanking,Success
397,397,UPI,Success
398,398,NetBanking,Success
399,399,Wallet,Success
400,400,NetBanking,Success
401,401,Card,Success
402,402,Card,Failed
403,403,UPI,Success
404,404,Wallet,Success
405,405,Wallet,Success
406,406,UPI,Success
407,407,Card,Success
408,408,NetBanking,Failed
409,409,Wallet,Failed
410,410,Card,Failed
411,411,UPI,Success
412,412,Wallet,Success
413,413,Card,Success
414,414,Card,Success
415,415,Card,Success
416,416,UPI,Success
417,417,Card,Success
418,418,Wallet,Success
419,419,Wallet,Success
420,420,Wallet,Success
421,421,NetBanking,Success
422,422,Wallet,Success
423,423,Card,Failed
424,424,NetBanking,Failed
425,425,Wallet,Success
426,426,Wallet,Success
427,427,Card,Success
428,428,Wallet,Success
429,429,Wallet,Success
430,430,Card,Success
431,431,UPI,Success
432,432,UPI,Success
433,433,NetBanking,Success
434,434,Wallet,Success
435,435,Wallet,Success
436,436,Card,Success
437,437,NetBanking,Success
438,438,UPI,Success
439,439,UPI,Success
440,440,Wallet,Success
441,441,Card,Failed
442,442,Wallet,Success
443,443,Wallet,Success
444,444,Wallet,Success
445,445,UPI,Success
446,446,NetBanking,Success
447,447,Card,Success
448,448,NetBanking,Success
449,449,UPI,Success
450,450,UPI,Success
451,451,UPI,Success
452,452,Wallet,Success
453,453,UPI,Success
454,454,Card,Success
455,455,Card,Success
456,456,Card,Success
457,457,Card,Success
458,458,Wallet,Success
459,459,NetBanking,Success
460,460,Card,Success
461,461,Wallet,Success
462,462,NetBanking,Success
463,463,Wallet,Success
464,464,Card,Success
465,465,Wallet,Failed
466,466,Card,Failed
467,467,Wallet,Failed
468,468,Wallet,Success
469,469,NetBanking,Success
470,470,NetBanking,Success
471,471,Wallet,Success
472,472,Card,Success
473,473,Card,Success
474,474,Card,Success
475,475,UPI,Success
476,476,Wallet,Success
477,477,NetBanking,Success
478,478,UPI,Success
479,479,UPI,Success
480,480,UPI,Success
481,481,Wallet,Success
482,482,Card,Success
483,483,UPI,Success
484,484,Wallet,Success
485,485,UPI,Success
486,486,Wallet,Success
487,487,UPI,Success
488,488,Card,Success
489,489,UPI,Failed
490,490,Card,Success
491,491,UPI,Success
492,492,Wallet,Success
493,493,NetBanking,Success
494,494,Card,Success
495,495,NetBanking,Success
496,496,NetBanking,Success
497,497,Wallet,Success
498,498,UPI,Success
499,499,Wallet,Success
500,500,UPI,Success
501,501,NetBanking,Success
502,502,UPI,Success
503,503,Wallet,Failed
504,504,NetBanking,Success
505,505,Wallet,Success
506,506,UPI,Success
507,507,UPI,Success
508,508,UPI,Success
509,509,Wallet,Success
510,510,Card,Success
511,511,UPI,Success
512,512,Card,Success
513,513,Card,Failed
514,514,NetBanking,Success
515,515,Card,Success
516,516,Wallet,Success
517,517,Wallet,Failed
518,518,Wallet,Success
519,519,Card,Success
520,520,NetBanking,Success
521,521,Card,Success
522,522,Card,Success
523,523,NetBanking,Success
524,524,Wallet,Success
525,525,UPI,Success
526,526,UPI,Success
527,527,Card,Failed
528,528,NetBanking,Success
529,529,UPI,Success
530,530,Wallet,Success
531,531,Card,Success
532,532,NetBanking,Success
533,533,Card,Success
534,534,UPI,Success
535,535,Card,Success
536,536,NetBanking,Success
537,537,Card,Success
538,538,UPI,Success
539,539,NetBanking,Success
540,540,Wallet,Success
541,541,Wallet,Success
542,542,Card,Failed
543,543,Wallet,Success
544,544,Card,Success
545,545,Wallet,Success
546,546,UPI,Success
547,547,Wallet,Success
548,548,UPI,Success
549,549,Card,Success
550,550,NetBanking,Success
551,551,NetBanking,Success
552,552,UPI,Success
553,553,NetBanking,Failed
554,554,NetBanking,Success
555,555,Card,Success
556,556,Card,Success
557,557,Card,Success
558,558,Wallet,Success
559,559,UPI,Success
560,560,NetBanking,Failed
561,561,NetBanking,Failed
562,562,NetBanking,Success
563,563,Card,Success
564,564,NetBanking,Success
565,565,Card,Success
566,566,UPI,Success
567,567,UPI,Success
568,568,NetBanking,Success
569,569,UPI,Success
570,570,NetBanking,Success
571,571,Card,Success
572,572,Wallet,Success
573,573,Wallet,Success
574,574,Wallet,Success
575,575,Card,Success
576,576,UPI,Success
577,577,NetBanking,Success
578,578,NetBanking,Success
579,579,UPI,Success
580,580,NetBanking,Success
581,581,Wallet,Success
582,582,NetBanking,Success
583,583,Wallet,Success
584,584,NetBanking,Success
585,585,NetBanking,Success
586,586,NetBanking,Failed
587,587,Wallet,Success
588,588,Wallet,Success
589,589,Card,Success
590,590,NetBanking,Success
591,591,UPI,Success
592,592,UPI,Success
593,593,Card,Success
594,594,Wallet,Success
595,595,NetBanking,Success
596,596,NetBanking,Success
597,597,Wallet,Success
598,598,Card,Success
599,599,UPI,Success
600,600,UPI,Success
601,601,Wallet,Success
602,602,Card,Success
603,603,NetBanking,Success
604,604,Wallet,Success
605,605,Wallet,Success
606,606,NetBanking,Success
607,607,UPI,Success
608,608,Wallet,Success
609,609,Wallet,Success
610,610,Wallet,Success
611,611,Card,Success
612,612,UPI,Success
613,613,Wallet,Success
614,614,Card,Success
615,615,NetBanking,Success
616,616,NetBanking,Success
617,617,Card,Success
618,618,UPI,Success
619,619,UPI,Success
620,620,UPI,Success
621,621,UPI,Success
622,622,UPI,Success
623,623,Card,Success
624,624,UPI,Success
625,625,UPI,Success
626,626,Wallet,Success
627,627,NetBanking,Success
628,628,NetBanking,Success
629,629,Wallet,Success
630,630,Wallet,Success
631,631,UPI,Success
632,632,NetBanking,Success
633,633,Wallet,Success
634,634,Card,Success
635,635,Card,Success
636,636,NetBanking,Success
637,637,Wallet,Success
638,638,NetBanking,Success
639,639,NetBanking,Success
640,640,NetBanking,Success
641,641,Wallet,Failed
642,642,NetBanking,Success
643,643,UPI,Success
644,644,UPI,Success
645,645,Wallet,Failed
646,646,NetBanking,Success
